orca-mini,7b
phi4,14b
llava-phi3,3.8b
moondream-v2,1.8b
meditron,7b
phi,2.7b
neural-chat,7b
llama2,13b
xwinlm,13b
dolphin3,8b
notus,7b
llama-pro,NA
mistral-openorca,7b
tinyllama,1.1b
medllama2,7b
deepscaler,1.5b
tinydolphin,1.1b
everythinglm,13b
